Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Saquon Barkley,27.0,RB,16,16,345,2005,13,82,52.5,72.0,5.8,125.3,21.6,43,33,278,8.4,2,12,44.2,43.0,2.1,17.4,76.7,6.5,378,6.0,2283,15,2,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
2.0,A.J. Brown,27.0,WR,13,13,0,0,0,0,,,,0.0,0.0,97,67,1079,16.1,7,51,62.9,67.0,5.2,83.0,69.1,11.1,67,16.1,1079,7,0,AP-2
3.0,DeVonta Smith,26.0,WR,13,13,1,1,0,0,0.0,1.0,1.0,0.1,0.1,89,68,833,12.3,8,42,61.8,49.0,5.2,64.1,76.4,9.4,69,12.1,834,8,0,
4.0,Jalen Hurts,26.0,QB,15,15,150,630,14,62,55.3,35.0,4.2,42.0,10.0,0,0,0,,0,0,,,0.0,0.0,,,150,4.2,630,14,9,
5.0,Dallas Goedert,29.0,TE,10,10,0,0,0,0,,,,0.0,0.0,52,42,496,11.8,2,20,55.8,61.0,4.2,49.6,80.8,9.5,42,11.8,496,2,2,
6.0,Kenneth Gainwell,25.0,RB,17,1,75,290,1,12,24.0,20.0,3.9,17.1,4.4,22,16,116,7.3,0,5,40.9,16.0,0.9,6.8,72.7,5.3,91,4.5,406,1,0,
7.0,Grant Calcaterra,26.0,TE,17,13,0,0,0,0,,,,0.0,0.0,30,24,298,12.4,1,15,63.3,34.0,1.4,17.5,80.0,9.9,24,12.4,298,1,0,
8.0,Jahan Dotson,24.0,WR,17,6,1,13,0,1,100.0,13.0,13.0,0.8,0.1,33,19,216,11.4,0,12,48.5,36.0,1.1,12.7,57.6,6.5,20,11.5,229,0,0,
9.0,Will Shipley,22.0,RB,16,1,30,82,0,2,26.7,9.0,2.7,5.1,1.9,4,4,35,8.8,0,2,75.0,13.0,0.3,2.2,100.0,8.8,34,3.4,117,0,0,
10.0,Ainias Smith,23.0,WR,7,1,2,6,0,1,50.0,4.0,3.0,0.9,0.3,9,7,41,5.9,1,1,33.3,15.0,1.0,5.9,77.8,4.6,9,5.2,47,1,0,
11.0,Johnny Wilson,23.0,WR,16,4,0,0,0,0,,,,0.0,0.0,15,5,38,7.6,1,3,26.7,9.0,0.3,2.4,33.3,2.5,5,7.6,38,1,0,
12.0,Britain Covey,27.0,WR,5,1,0,0,0,0,,,,0.0,0.0,8,7,34,4.9,0,2,37.5,11.0,1.4,6.8,87.5,4.3,7,4.9,34,0,0,
13.0,Parris Campbell,27.0,WR,5,0,0,0,0,0,,,,0.0,0.0,8,6,30,5.0,1,1,50.0,7.0,1.2,6.0,75.0,3.8,6,5.0,30,1,0,
14.0,Kenny Pickett,26.0,QB,5,1,9,15,1,3,33.3,8.0,1.7,3.0,1.8,0,0,0,,0,0,,,0.0,0.0,,,9,1.7,15,1,1,
15.0,Jack Stoll,26.0,TE,7,2,0,0,0,0,,,,0.0,0.0,3,2,10,5.0,0,0,33.3,6.0,0.3,1.4,66.7,3.3,2,5.0,10,0,0,
16.0,Tyrion Davis-Price,24.0,RB,1,0,3,7,0,0,0.0,5.0,2.3,7.0,3.0,0,0,0,,0,0,,,0.0,0.0,,,3,2.3,7,0,0,
17.0,E.J. Jenkins,26.0,TE,8,0,0,0,0,0,,,,0.0,0.0,2,1,7,7.0,1,1,50.0,7.0,0.1,0.9,50.0,3.5,1,7.0,7,1,0,
18.0,John Ross,29.0,WR,1,0,0,0,0,0,,,,0.0,0.0,2,1,6,6.0,0,1,50.0,6.0,1.0,6.0,50.0,3.0,1,6.0,6,0,0,
19.0,Ben VanSumeren,24.0,LB,11,1,0,0,0,0,,,,0.0,0.0,1,1,0,0.0,0,0,0.0,,0.1,0.0,100.0,0.0,1,0.0,0,0,0,
20.0,Tanner McKee,24.0,QB,2,1,5,-1,0,1,20.0,2.0,-0.2,-0.5,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,-0.2,-1,0,0,
,Team Totals,,,17,17,621,3048,29,164,47.7,72.0,4.9,179.3,36.5,418,303,3517,11.6,24,168,54.5,67.0,17.8,206.9,72.5,8.4,924,7.1,6565,53,14,
