Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Pierre Thomas,25.0,RB,14,6,147,793,6,37,54.4,34.0,5.4,56.6,10.5,45,39,302,7.7,2,12,48.9,36.0,2.8,21.6,86.7,6.7,186,5.9,1095,8,2,
2.0,Marques Colston,26.0,WR,16,14,1,6,0,0,100.0,6.0,6.0,0.4,0.1,107,70,1074,15.3,9,54,59.8,68.0,4.4,67.1,65.4,10.0,71,15.2,1080,9,2,
3.0,Devery Henderson,27.0,WR,16,11,4,13,0,1,50.0,13.0,3.3,0.8,0.3,83,51,804,15.8,2,33,53.0,75.0,3.2,50.3,61.4,9.7,55,14.9,817,2,0,
4.0,Robert Meachem,25.0,WR,16,7,6,82,0,4,100.0,41.0,13.7,5.1,0.4,64,45,722,16.0,9,30,54.7,54.0,2.8,45.1,70.3,11.3,51,15.8,804,9,2,
5.0,Reggie Bush,24.0,RB,14,8,70,390,5,19,42.9,55.0,5.6,27.9,5.0,68,47,335,7.1,3,16,48.5,29.0,3.4,23.9,69.1,4.9,117,6.2,725,8,4,
6.0,Mike Bell,26.0,RB,13,3,172,654,5,34,49.4,35.0,3.8,50.3,13.2,4,4,12,3.0,0,1,25.0,9.0,0.3,0.9,100.0,3.0,176,3.8,666,5,2,
7.0,Jeremy Shockey,29.0,TE,13,12,0,0,0,0,,,,0.0,0.0,67,48,569,11.9,3,29,61.2,66.0,3.7,43.8,71.6,8.5,48,11.9,569,3,0,
8.0,David Thomas,26.0,TE,15,8,0,0,0,0,,,,0.0,0.0,48,35,356,10.2,1,18,54.2,37.0,2.3,23.7,72.9,7.4,35,10.2,356,1,0,
9.0,Lynell Hamilton,24.0,RB,9,1,35,125,2,12,54.3,19.0,3.6,13.9,3.9,7,5,48,9.6,0,4,57.1,16.0,0.6,5.3,71.4,6.9,40,4.3,173,2,0,
10.0,Lance Moore,26.0,WR,7,0,0,0,0,0,,,,0.0,0.0,19,14,153,10.9,2,10,68.4,22.0,2.0,21.9,73.7,8.1,14,10.9,153,2,0,
11.0,Heath Evans,31.0,FB,6,5,5,16,1,1,40.0,6.0,3.2,2.7,0.8,13,10,70,7.0,2,5,61.5,13.0,1.7,11.7,76.9,5.4,15,5.7,86,3,0,
12.0,Drew Brees,30.0,QB,15,15,22,33,2,8,40.9,10.0,1.5,2.2,1.5,1,1,-4,-4.0,0,0,0.0,-4.0,0.1,-0.3,100.0,-4.0,23,1.3,29,2,10,"PB,AP-2,AP MVP-2,AP OPoY-2"
13.0,Darnell Dinkins,32.0,TE,11,3,0,0,0,0,,,,0.0,0.0,7,5,22,4.4,1,2,57.1,8.0,0.5,2.0,71.4,3.1,5,4.4,22,1,0,
14.0,Kyle Eckel,28.0,RB,7,2,2,6,0,1,50.0,7.0,3.0,0.9,0.3,3,2,14,7.0,0,1,33.3,8.0,0.3,2.0,66.7,4.7,4,5.0,20,0,0,
15.0,Tory Humphrey,26.0,TE,1,0,0,0,0,0,,,,0.0,0.0,1,1,7,7.0,0,0,0.0,7.0,1.0,7.0,100.0,7.0,1,7.0,7,0,0,
16.0,Courtney Roby,26.0,WR,15,0,0,0,0,0,,,,0.0,0.0,1,1,6,6.0,0,0,0.0,6.0,0.1,0.4,100.0,6.0,1,6.0,6,0,2,
17.0,Jamar Nesbit,33.0,G,13,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
18.0,Mark Brunell,39.0,QB,16,1,4,-12,0,0,0.0,-1.0,-3.0,-0.8,0.3,0,0,0,,0,0,,,0.0,0.0,,,4,-3.0,-12,0,0,
,Team Totals,,,16,16,468,2106,21,117,50.2,55.0,4.5,131.6,29.3,539,378,4490,11.9,34,215,54.9,75.0,23.6,280.6,70.1,8.3,846,7.8,6596,55,24,
