Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Joseph Addai,23.0,RB,16,0,226,1081,7,67,60.2,41.0,4.8,67.6,14.1,50,40,325,8.1,1,20,62.0,21.0,2.5,20.3,80.0,6.5,266,5.3,1406,8,2,
2.0,Marvin Harrison,34.0,WR,16,16,0,0,0,0,,,,0.0,0.0,148,95,1366,14.4,12,78,60.1,68.0,5.9,85.4,64.2,9.2,95,14.4,1366,12,1,"PB,AP-1"
3.0,Reggie Wayne,28.0,WR,16,16,0,0,0,0,,,,0.0,0.0,137,86,1310,15.2,9,72,60.6,51.0,5.4,81.9,62.8,9.6,86,15.2,1310,9,1,PB
4.0,Dominic Rhodes,27.0,RB,16,16,187,641,5,40,45.5,17.0,3.4,40.1,11.7,47,36,251,7.0,0,9,53.2,27.0,2.3,15.7,76.6,5.3,223,4.0,892,5,3,
5.0,Ben Utecht,25.0,TE,15,15,0,0,0,0,,,,0.0,0.0,53,37,377,10.2,0,18,62.3,26.0,2.5,25.1,69.8,7.1,37,10.2,377,0,1,
6.0,Dallas Clark,27.0,TE,12,12,0,0,0,0,,,,0.0,0.0,57,30,367,12.2,4,22,50.9,40.0,2.5,30.6,52.6,6.4,30,12.2,367,4,0,
7.0,Bryan Fletcher,27.0,TE,15,3,0,0,0,0,,,,0.0,0.0,25,18,202,11.2,2,13,64.0,26.0,1.2,13.5,72.0,8.1,18,11.2,202,2,0,
8.0,Brandon Stokley,30.0,WR,4,1,0,0,0,0,,,,0.0,0.0,11,8,85,10.6,1,3,54.5,23.0,2.0,21.3,72.7,7.7,8,10.6,85,1,0,
9.0,Aaron Moorehead,26.0,WR,12,0,0,0,0,0,,,,0.0,0.0,16,8,82,10.3,1,5,43.8,36.0,0.7,6.8,50.0,5.1,8,10.3,82,1,0,
10.0,Peyton Manning,30.0,QB,16,16,23,36,4,7,30.4,12.0,1.6,2.3,1.4,0,0,0,,0,0,,,0.0,0.0,,,23,1.6,36,4,2,"PB,AP-2,AP MVP-3,AP OPoY-3"
11.0,Ricky Proehl,38.0,WR,2,1,0,0,0,0,,,,0.0,0.0,4,3,30,10.0,0,1,75.0,13.0,1.5,15.0,75.0,7.5,3,10.0,30,0,0,
12.0,Ran Carthon,25.0,RB,3,0,3,4,1,1,33.3,3.0,1.3,1.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,3,1.3,4,1,0,
13.0,Dan Klecko,25.0,DT,10,0,0,0,0,0,,,,0.0,0.0,1,1,2,2.0,1,1,100.0,2.0,0.1,0.2,100.0,2.0,1,2.0,2,1,0,
14.0,Charlie Johnson,22.0,T,16,1,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,16,16,439,1762,17,115,52.2,41.0,4.0,110.1,27.4,550,362,4397,12.1,31,242,58.7,68.0,22.6,274.8,65.8,8.0,801,7.7,6159,48,10,
