Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Najee Harris,26.0,RB,17,17,263,1043,6,50,43.7,36.0,4.0,61.4,15.5,48,36,283,7.9,0,13,45.8,32.0,2.1,16.6,75.0,5.9,299,4.4,1326,6,0,
2.0,George Pickens,23.0,WR,14,12,2,-6,0,0,50.0,4.0,-3.0,-0.4,0.1,103,59,900,15.3,3,37,44.7,44.0,4.2,64.3,57.3,8.7,61,14.7,894,3,1,
3.0,Jaylen Warren,26.0,RB,15,0,120,511,1,28,50.0,22.0,4.3,34.1,8.0,47,38,310,8.2,0,16,46.8,29.0,2.5,20.7,80.9,6.6,158,5.2,821,1,2,
4.0,Pat Freiermuth,26.0,TE,17,11,0,0,0,0,,,,0.0,0.0,78,65,653,10.0,7,32,62.8,30.0,3.8,38.4,83.3,8.4,65,10.0,653,7,3,
5.0,Calvin Austin III,25.0,WR,17,8,0,0,0,0,,,,0.0,0.0,58,36,548,15.2,4,18,53.4,55.0,2.1,32.2,62.1,9.4,36,15.2,548,4,1,
6.0,Justin Fields,25.0,QB,10,6,62,289,5,19,54.8,30.0,4.7,28.9,6.2,0,0,0,,0,0,,,0.0,0.0,,,62,4.7,289,5,6,
7.0,Van Jefferson,28.0,WR,17,12,0,0,0,0,,,,0.0,0.0,40,24,276,11.5,2,12,47.5,43.0,1.4,16.2,60.0,6.9,24,11.5,276,2,0,
8.0,Cordarrelle Patterson,33.0,RB,13,1,32,135,0,7,43.8,14.0,4.2,10.4,2.5,14,12,80,6.7,1,5,50.0,20.0,0.9,6.2,85.7,5.7,44,4.9,215,1,1,
9.0,Darnell Washington,23.0,TE,17,9,0,0,0,0,,,,0.0,0.0,25,19,200,10.5,1,9,68.0,29.0,1.1,11.8,76.0,8.0,19,10.5,200,1,0,
10.0,Russell Wilson,36.0,QB,11,11,43,155,2,16,46.5,19.0,3.6,14.1,3.9,0,0,0,,0,0,,,0.0,0.0,,,43,3.6,155,2,5,"PB,AP CPoY-14"
11.0,Mike Williams,30.0,WR,9,2,0,0,0,0,,,,0.0,0.0,13,9,132,14.7,1,5,46.2,32.0,1.0,14.7,69.2,10.2,9,14.7,132,1,0,
12.0,Scott Miller,27.0,WR,13,1,0,0,0,0,,,,0.0,0.0,9,5,69,13.8,0,2,55.6,21.0,0.4,5.3,55.6,7.7,5,13.8,69,0,0,
13.0,Ben Skowronek,27.0,WR,10,1,0,0,0,0,,,,0.0,0.0,5,5,69,13.8,0,4,80.0,23.0,0.5,6.9,100.0,13.8,5,13.8,69,0,0,
14.0,Connor Heyward,25.0,TE,17,5,0,0,0,0,,,,0.0,0.0,8,6,40,6.7,1,3,62.5,16.0,0.4,2.4,75.0,5.0,6,6.7,40,1,0,
15.0,MyCole Pruitt,32.0,TE,12,5,0,0,0,0,,,,0.0,0.0,10,6,40,6.7,1,2,40.0,18.0,0.5,3.3,60.0,4.0,6,6.7,40,1,0,
16.0,Jonathan Ward,27.0,RB,4,0,5,22,0,1,60.0,7.0,4.4,5.5,1.3,0,0,0,,0,0,,,0.0,0.0,,,5,4.4,22,0,0,
17.0,Aaron Shampklin,25.0,RB,3,0,6,17,0,1,16.7,5.0,2.8,5.7,2.0,0,0,0,,0,0,,,0.0,0.0,,,6,2.8,17,0,0,
18.0,Brandon Johnson,26.0,WR,3,0,0,0,0,0,,,,0.0,0.0,1,1,9,9.0,0,0,100.0,9.0,0.3,3.0,100.0,9.0,1,9.0,9,0,0,
19.0,James Pierre,28.0,CB,15,2,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
20.0,Zach Frazier,23.0,C,15,15,0,0,0,0,,,,0.0,0.0,0,0,-2,,0,0,,-2.0,0.0,-0.1,,,0,,-2,0,1,
,Team Totals,,,17,17,533,2166,14,122,46.5,36.0,4.1,127.4,31.4,460,321,3607,11.2,21,158,51.7,55.0,18.9,212.2,69.8,7.8,854,6.8,5773,35,20,
